Time_s,Truth_kph,RawMT_kph,RawValid,Method,Kalman_kph,KalmanAccel_kph_s
0.554,0.670004747378646,NaN,0,T,0,0
0.555,0.669630121019657,NaN,0,T,0,0
0.556,0.669251129982835,NaN,0,T,0,0
0.557,0.668867797075045,NaN,0,T,0,0
0.558,0.668480145187146,NaN,0,T,0,0
0.559,0.668088197293543,NaN,0,T,0,0
0.56,0.667691976451745,NaN,0,T,0,0
0.561,0.667291505801918,0,1,T,0,0
0.562,0.666886808566439,NaN,0,T,0,0
0.563,0.666477908049446,NaN,0,T,0,0
0.564,0.666064827636385,NaN,0,T,0,0
0.565,0.665647590793561,NaN,0,T,0,0
0.566,0.665226221067683,NaN,0,T,0,0
0.567,0.664800742085407,NaN,0,T,0,0
0.568,0.664371177552881,NaN,0,T,0,0
0.569,0.663937551255285,NaN,0,T,0,0
0.57,0.663499887056371,NaN,0,T,0,0
0.571,0.663058208898002,0,1,T,0,0
0.572,0.662612540799691,NaN,0,T,0,0
0.573,0.662162906858129,NaN,0,T,0,0
0.574,0.661709331246728,NaN,0,T,0,0
0.575,0.661251838215148,NaN,0,T,0,0
0.576,0.660790452088828,NaN,0,T,0,0
0.577,0.660325197268518,NaN,0,T,0,0
